Username,Ranking,Reputation,All_Solved,Easy_Solved,Medium_Solved,Hard_Solved
chloeliyilin,2397034,0,48,37,9,2
Jiang_Li_Rui,1364425,21,106,26,49,31
IC_Br0ken,223501,0,445,112,251,82
amj247,2240477,0,53,21,30,2
Maruzensky,105,81,3343,814,1757,772
maxxon_rykar,4620563,0,13,4,6,3
SupervisorMayHap,1067,42,2283,545,1224,514
soghosh,35462,0,926,162,540,224
rightjoin,4282906,0,16,5,5,6
TheRaven,96698,0,652,161,353,138
badgergo,1235844,0,118,32,70,16
CosmicWolf,29651,4,977,289,526,162
jcfernandez,7337,45,1426,402,737,287
Xiaohao2019,58453,65,785,184,448,153
remidinishanth,4197,9,1632,414,913,305
chikubabua,5000001,0,0,0,0,0
somanaik,52456,2,815,243,436,136
kumarfeldspar,513025,1,264,70,129,65
cdarellsalazar,4369705,0,15,10,5,0
4ty7,721989,287,202,27,83,92
trchen,316991,1,365,77,206,82
itzRaghav,57340,22,791,204,429,158
g129512,32664,4,950,188,475,287
IAmConfessor,1644416,3,83,22,42,19
mynameisram,5000001,0,0,0,0,0
hululu0405,3113,56,1743,435,984,324
sketcher_nig8,304161,0,374,110,208,56
icareevents,281496,0,392,95,202,95
